,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
255,Manokwari,ID,83.41,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
262,Rioja,AR,81.97,overcast clouds,-29.4111,-66.8507,Hotel Libertador
264,Tutoia,BR,80.47,clear sky,-2.7619,-42.2744,Pousada Guará's
268,Abu Dhabi,AE,82.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
278,Umm Lajj,SA,79.36,overcast clouds,25.0213,37.2685,Moon light Furnished Units
281,Adrar,MR,77.45,scattered clouds,20.5022,-10.0711,
283,Puerto El Triunfo,SV,80.76,few clouds,13.2833,-88.55,Hotel Jardin
295,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
298,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
300,Puerto Carreno,CO,77.95,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
303,Waingapu,ID,86.5,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
308,Ladario,BR,77.29,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
309,Balikpapan,ID,83.39,scattered clouds,-1.2675,116.8289,ibis Balikpapan
316,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
319,Batemans Bay,AU,78.19,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
322,Quang Ngai,VN,77.43,heavy intensity rain,15.1167,108.8,Central Hotel
325,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
327,Isangel,VU,82.47,few clouds,-19.55,169.2667,Tanna Lodge
329,Libreville,GA,80.62,light rain,0.3925,9.4537,Hotel Re-Ndama
334,Mareeba,AU,88.32,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
336,Santa Cruz Del Sur,CU,79.86,moderate rain,20.7147,-77.9956,
337,Mecca,SA,79.29,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
340,Bowen,AU,80.89,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
342,Bubaque,GW,82.0,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
350,Kahului,US,87.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
352,Daru,PG,86.02,broken clouds,-9.0763,143.2092,Daru Lodge
355,Kieta,PG,86.13,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
360,Camocim,BR,79.81,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
363,Meulaboh,ID,77.56,overcast clouds,4.1363,96.1285,Kost Pria
370,Panaba,MX,80.35,overcast clouds,21.2833,-88.2667,Hotel California
371,Nishihara,JP,78.08,few clouds,26.1842,127.7558,Minshuku Agaihama
379,Tevaitoa,PF,79.59,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
382,Auki,SB,88.0,overcast clouds,-8.7676,160.7034,Auki Motel
385,Ipu,BR,79.54,clear sky,-4.3222,-40.7108,Our hostel Corner
389,Tessalit,ML,81.0,broken clouds,20.1986,1.0114,
390,Caravelas,BR,75.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
397,Sola,VU,81.07,clear sky,-13.8833,167.55,Leumerus Bungalows
398,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
400,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
403,Road Town,VG,81.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
412,Bang Saphan,TH,76.95,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
413,Guane,CU,77.74,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
414,Takoradi,GH,76.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
417,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
418,Samarai,PG,83.12,scattered clouds,-10.6167,150.6667,Nuli Sapi
420,Talaja,IN,77.49,clear sky,21.35,72.05,Velvettas Resorts
423,Boyolangu,ID,80.31,overcast clouds,-8.1181,111.8935,Yos ega cv
424,Dubbo,AU,77.13,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
427,Camajuani,CU,77.14,light rain,22.4833,-79.75,Hostal Villuendas 75
432,Sokoto,NG,81.66,few clouds,13.0609,5.239,Shukura Coral Hotel
433,Damaturu,NG,79.93,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
440,Maragogi,BR,76.59,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
442,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
444,Miri,MY,86.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
448,Koulikoro,ML,79.21,scattered clouds,14.0,-7.75,
456,Goure,NE,84.02,scattered clouds,13.9835,10.2704,
457,Yuma,US,75.97,few clouds,32.7253,-114.6244,Best Western Yuma Mall Hotel & Suites
467,Barreirinha,BR,80.76,light rain,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
469,Thinadhoo,MV,83.82,moderate rain,0.5333,72.9333,
470,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
473,Santarem,BR,78.93,light rain,-2.4431,-54.7083,Ecotur Lodge
478,Delmas,HT,83.12,few clouds,18.5447,-72.3028,Idéal Villa Hôtel
480,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
483,Santiago Del Estero,AR,83.8,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
484,Payo,ID,81.34,light rain,-3.7508,103.6372,Mess keban agung
486,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
487,Dingle,PH,83.01,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
488,Narrabri,AU,83.52,clear sky,-30.3167,149.7833,Crossroads Hotel
489,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
